TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,BC_operation_name,BC_input_shape_name,BC_is_required,BC_total_arn_variable_count,BC_successful_arn_variable_count
waf,aws_waf_regex_pattern_set,Regex Pattern Set,1,0,4,5,1,CreateRegexPatternSet,/Users/hbwei/terraform-provider-aws/internal/service/waf/regex_pattern_set.go,waf,waf:CreateRegexPatternSet,waf:CreateRegexPatternSet,regexpatternset,arn:${Partition}:waf::${Account}:regexpatternset/${Id},,,,1,0
logs,aws_cloudwatch_log_resource_policy,Resource Policy,0,0,1,2,1,PutResourcePolicy,/Users/hbwei/terraform-provider-aws/internal/service/logs/resource_policy.go,logs,logs:PutResourcePolicy,logs:PutResourcePolicy,,,,,,0,0
route53resolver,aws_route53_resolver_query_log_config,Query Log Config,0,0,1,2,1,CreateResolverQueryLogConfig,/Users/hbwei/terraform-provider-aws/internal/service/route53resolver/query_log_config.go,route53resolver,route53resolver:CreateResolverQueryLogConfig,route53resolver:CreateResolverQueryLogConfig,resolver-query-log-config,arn:${Partition}:route53resolver:${Region}:${Account}:resolver-query-log-config/${ResourceId},,,,1,0
athena,aws_athena_data_catalog,Data Catalog,0,0,1,2,1,CreateDataCatalog,/Users/hbwei/terraform-provider-aws/internal/service/athena/data_catalog.go,athena,athena:CreateDataCatalog,athena:CreateDataCatalog,datacatalog,arn:${Partition}:athena:${Region}:${Account}:datacatalog/${DataCatalogName},,,,1,0
guardduty,aws_guardduty_member,Member,0,1,1,3,2,CreateMembers,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/member.go,guardduty,guardduty:CreateMembers,guardduty:CreateMembers,,,,,,0,0
route53recoveryreadiness,aws_route53recoveryreadiness_cell,Cell,0,0,1,2,1,CreateCell,/Users/hbwei/terraform-provider-aws/internal/service/route53recoveryreadiness/cell.go,route53-recovery-readiness,route53-recovery-readiness:CreateCell,route53-recovery-readiness:CreateCell,cell,arn:${Partition}:route53-recovery-readiness::${Account}:cell/${ResourceId},,,,1,0
connect,aws_connect_hours_of_operation,Hours Of Operation,0,0,1,2,1,CreateHoursOfOperation,/Users/hbwei/terraform-provider-aws/internal/service/connect/hours_of_operation.go,connect,connect:CreateHoursOfOperation,connect:CreateHoursOfOperation,hours-of-operation,arn:${Partition}:connect:${Region}:${Account}:instance/${InstanceId}/operating-hours/${HoursOfOperationId},CreateHoursOfOperation,CreateHoursOfOperationRequest,true,1,1
ses,aws_ses_receipt_rule_set,Receipt Rule Set,0,0,1,2,1,CreateReceiptRuleSet,/Users/hbwei/terraform-provider-aws/internal/service/ses/receipt_rule_set.go,ses,ses:CreateReceiptRuleSet,ses:CreateReceiptRuleSet,,,,,,0,0
sagemaker,aws_sagemaker_servicecatalog_portfolio_status,Servicecatalog Portfolio Status,0,0,1,3,2,DisableSagemakerServicecatalogPortfolio,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/servicecatalog_portfolio_status.go,sagemaker,sagemaker:DisableSagemakerServicecatalogPortfolio,sagemaker:DisableSagemakerServicecatalogPortfolio,,,,,,0,0
sagemaker,aws_sagemaker_app_image_config,App Image Config,0,0,1,2,1,CreateAppImageConfig,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/app_image_config.go,sagemaker,sagemaker:CreateAppImageConfig,sagemaker:CreateAppImageConfig,app-image-config,arn:${Partition}:sagemaker:${Region}:${Account}:app-image-config/${AppImageConfigName},CreateAppImageConfig,CreateAppImageConfigRequest,true,1,1
