TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,SR_authorized_actions-action_details-resource_details-arn-arn_variables,BC_operation_name,BC_input_shape_name,BC_member_name,BC_is_required,BC_member_shape_name,BC_member_shape_type,TF_successful_arn_variable_match
ses,aws_ses_event_destination,Configuration Set Event Destination,0,0,1,2,1,CreateConfigurationSetEventDestination,/Users/hbwei/terraform-provider-aws/internal/service/ses/event_destination.go,ses,ses:CreateConfigurationSetEventDestination,ses:CreateConfigurationSetEventDestination,configuration-set,arn:${Partition}:ses:${Region}:${Account}:configuration-set/${ConfigurationSetName},ConfigurationSetName,CreateConfigurationSetEventDestination,CreateConfigurationSetEventDestinationRequest,ConfigurationSetName,true,ConfigurationSetName,string,true
networkmanager,aws_networkmanager_device,Device,0,0,1,2,1,CreateDevice,/Users/hbwei/terraform-provider-aws/internal/service/networkmanager/device.go,networkmanager,networkmanager:CreateDevice,networkmanager:CreateDevice,global-network,arn:${Partition}:networkmanager::${Account}:global-network/${ResourceId},ResourceId,,,,,,,false
appsync,aws_appsync_resolver,Resolver,0,0,1,2,1,CreateResolver,/Users/hbwei/terraform-provider-aws/internal/service/appsync/resolver.go,appsync,appsync:CreateResolver,appsync:CreateResolver,,,,,,,,,,false
waf,aws_waf_rule,Rule,1,0,3,4,1,CreateRule,/Users/hbwei/terraform-provider-aws/internal/service/waf/rule.go,waf,waf:CreateRule,waf:CreateRule,rule,arn:${Partition}:waf::${Account}:rule/${Id},Id,,,,,,,false
s3,aws_s3_bucket_acl,Bucket ACL,0,0,1,2,1,PutBucketAcl,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_acl.go,s3,s3:PutBucketAcl,s3:PutBucketAcl,bucket,arn:${Partition}:s3:::${BucketName},BucketName,,,,,,,false
logs,aws_cloudwatch_query_definition,Query Definition,0,0,1,2,1,PutQueryDefinition,/Users/hbwei/terraform-provider-aws/internal/service/logs/query_definition.go,logs,logs:PutQueryDefinition,logs:PutQueryDefinition,,,,,,,,,,false
ec2,aws_ebs_snapshot_import,EBS Snapshot Import,0,1,2,5,2,ModifySnapshotTier,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_import.go,ec2,ec2:ModifySnapshotTier,ec2:ModifySnapshotTier,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},SnapshotId,ModifySnapshotTier,ModifySnapshotTierRequest,SnapshotId,true,SnapshotId,string,true
ec2,aws_ebs_snapshot_copy,EBS Snapshot Copy,0,1,2,4,2,ModifySnapshotTier,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_copy.go,ec2,ec2:ModifySnapshotTier,ec2:ModifySnapshotTier,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},SnapshotId,ModifySnapshotTier,ModifySnapshotTierRequest,SnapshotId,true,SnapshotId,string,true
ec2,aws_ebs_snapshot,EBS Snapshot,0,1,2,4,2,ModifySnapshotTier,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot.go,ec2,ec2:ModifySnapshotTier,ec2:ModifySnapshotTier,snapshot,arn:${Partition}:ec2:${Region}::snapshot/${SnapshotId},SnapshotId,ModifySnapshotTier,ModifySnapshotTierRequest,SnapshotId,true,SnapshotId,string,true
vpclattice,aws_vpclattice_listener_rule,Listener Rule,0,0,1,2,1,CreateRule,/Users/hbwei/terraform-provider-aws/internal/service/vpclattice/listener_rule.go,vpc-lattice,vpc-lattice:CreateRule,vpc-lattice:CreateRule,Rule,arn:${Partition}:vpc-lattice:${Region}:${Account}:service/${ServiceId}/listener/${ListenerId}/rule/${RuleId},ServiceId,,,,,,,false
